year,ActualRate,PredictedRate
1970,0.0025076499370893335,0.0
1971,0.0026671886912325287,0.0
1972,0.0025970662251655627,0.0
1973,0.002400153571428571,0.0
1974,0.002504003987373318,0.0
1975,0.00260685564476487,0.0
1976,0.0031436851092896175,0.0
1977,0.0036504875,0.0
1978,0.00446653134635149,0.0
1979,0.0037737505214851903,0.0
1980,0.004172192118226601,0.0
1981,0.004031846293769895,0.0
1982,0.004339506382978723,0.0
1983,0.00477453488372093,0.0
1984,0.004810915969733174,0.0
1985,0.007324907730673317,0.0
1986,0.00945450659962288,0.0
1987,0.01120714979757085,0.0
1988,0.009288096940802543,0.0
1989,0.008794081561519694,0.0
1990,0.00962171875,0.0
1991,0.010512268370607028,0.0
1992,0.011641058116232464,0.0
1993,0.013204175234689317,0.0
1994,0.012906887908562262,0.0
1995,0.013053408538364291,0.0
1996,0.010823215517241379,0.0
1997,0.01178989611388996,0.010423405264462034
1998,0.014091089965397924,0.014204591919555786
1999,0.014965949119373776,0.01034752115434167
2000,0.01570978241949521,0.01338855032959172
2001,0.014859484066767828,0.013250230468540592
2002,0.014730275229357798,0.014117032388513981
2003,0.012449421101774044,0.015867459118559524
2004,0.012329014598540146,0.01176420504289133
2005,0.011553403407646011,0.014200286760208425
2006,0.01062415300546448,0.01625904311349386
2007,0.009950008771929825,0.008995297384944843
2008,0.015905432506887054,0.012341289347419382
2009,0.012111134043015425,0.018022119114210908
2010,0.012080552486187845,0.012860308334421535
2011,0.012669068450849202,0.0120312992275201
2012,0.011104286539572503,0.010340471297151155
2013,0.01071255460588794,0.009124586847514351
2014,0.010106225132625993,0.015084521442631064
2015,0.011358821576763486,0.011683282114161737
2016,0.01183201198630137,0.014598921748259207
2017,0.01135563330380868,0.01593339604845788
2018,0.012783831092664443,0.0175785623645724
2019,0.013080535190615836,0.013080124168258532
2020,0.012528842999131528,0.012011549570690304
2021,0.012066981875492513,0.014502911300691746
2022,0.011127139087825104,0.013040066949529043
2023,0.010302219716721867,0.013203986257608418
