year,ActualExchangeRate,PredictedExchangeRate
1970,0.896861,0.9328944664808899
1971,0.839631,0.7080348811090043
1972,0.784314,0.7442926370853743
1973,0.672043,0.5273061183445426
1974,0.75358,0.6256378588495424
1975,0.795482,0.6374700108867392
1976,0.920471,0.8089486314102086
1977,0.876117,0.9372885000336353
1978,0.869187,1.0077975317690473
1979,0.904568,0.8987980897070997
1980,0.846955,0.9525799644052809
1981,0.886603,0.7749970564657661
1982,1.019784,1.2657134354629331
1983,1.108647,0.8900708393450801
1984,1.208021,1.3080726162038914
1985,1.468644,1.2864894736863721
1986,1.504212,1.3388587091063504
1987,1.384083,1.048951848354878
1988,1.168907,1.265390133732844
1989,1.261511,1.2048627861071346
1990,1.293159,1.0311610881525077
1991,1.316136,1.2281301858764462
1992,1.452222,1.1750613710804503
1993,1.476887,1.8386113449751702
1994,1.287333,1.5185053793578307
1995,1.342282,1.627278318876824
1996,1.255493,1.3135576543420509
1997,1.532097,1.244387030238297
1998,1.62893,1.9369396674569854
1999,1.52952,1.4601545089233874
2000,1.805054,1.854949620539012
2001,1.95848,1.8362653298275058
2002,1.76616,2.0199817623215353
2003,1.333333,1.032737345997616
2004,1.283697,1.2155524402159634
2005,1.362955,1.1539156948852902
2006,1.263743,1.5129180300192593
2007,1.134301,1.263223099012211
2008,1.443418,1.34143454640758
2009,1.114951,0.8789035784814357
2010,0.983961,0.8301533121154219
2011,0.98464,1.152767001416387
2012,0.961076,1.0178119967531856
2013,1.128032,1.1040302937000959
2014,1.219215,1.0666339627737778
2015,1.368738,1.4497084963098983
2016,1.381979,1.0452923935372544
2017,1.282051,1.0269950425082066
2018,1.416832,1.3809862500221695
2019,1.427348,1.3905162114029148
2020,1.298364,1.4426328945151212
2021,1.37817,1.0533951314581715
2022,1.476015,1.4456597236664714
2023,1.461988,1.5413770760697687
