year,ExchangeRate,PPP
1970,0.896861,0.685304
1971,0.839631,0.693976
1972,0.784314,0.713033
1973,0.672043,0.764901
1974,0.75358,0.824775
1975,0.795482,0.859857
1976,0.920471,0.921752
1977,0.876117,0.95194
1978,0.869187,0.962011
1979,0.904568,0.974799
1980,0.846955,0.981948
1981,0.886603,0.985572
1982,1.019784,1.04048
1983,1.108647,1.086089
1984,1.208021,1.110703
1985,1.468644,1.138374
1986,1.504212,1.193069
1987,1.384083,1.243157
1988,1.168907,1.300465
1989,1.261511,1.349535
1990,1.293159,1.364415
1991,1.316136,1.347277
1992,1.452222,1.32667
1993,1.476887,1.31089
1994,1.287333,1.299225
1995,1.342282,1.308996
1996,1.255493,1.311426
1997,1.532097,1.306627
1998,1.62893,1.298972
1999,1.52952,1.29695
2000,1.805054,1.31208
2001,1.95848,1.327545
2002,1.76616,1.33649
2003,1.333333,1.351978
2004,1.283697,1.36477
2005,1.362955,1.388356
2006,1.263743,1.402633
2007,1.134301,1.42652
2008,1.443418,1.479073
2009,1.114951,1.442566
2010,0.983961,1.503623
2011,0.98464,1.511052
2012,0.961076,1.540115
2013,1.128032,1.447123
2014,1.219215,1.452489
2015,1.368738,1.473691
2016,1.381979,1.450156
2017,1.282051,1.477553
2018,1.416832,1.470403
2019,1.427348,1.459253
2020,1.298364,1.431163
2021,1.37817,1.416683
2022,1.476015,1.372115
2023,1.461988,1.1358428
